price,street
140000.0,Омеляновича-Павленка
105000.0,
175000.0,Ованеса Туманяна
30970.0,Петропавлівська
82000.0,Дніпровська
168535.7,Саксаганського
4500000.0,Івана Мазепи
135000.0,Дніпровська
120000.0,Ділова
57500.0,Новодарницька
98000.0,Ревуцького
170000.0,Липківського
320000.0,Бендукідзе
65000.0,Введенська
125000.0,Виноградний
48000.0,Кайсарова
70000.0,Ахматової
75000.0,Радченка
84000.0,Дніпровська
175000.0,Ділова
63000.0,Бориспільська
390000.0,Болсуновська
335000.0,Українки
320000.0,Антонова
140000.0,Омеляновича-Павленка
105000.0,
175000.0,Ованеса Туманяна
30970.0,Петропавлівська
82000.0,Дніпровська
168535.7,Саксаганського
4500000.0,Івана Мазепи
135000.0,Дніпровська
120000.0,Ділова
57500.0,Новодарницька
98000.0,Ревуцького
170000.0,Липківського
320000.0,Бендукідзе
65000.0,Введенська
125000.0,Виноградний
48000.0,Кайсарова
70000.0,Ахматової
75000.0,Радченка
84000.0,Дніпровська
175000.0,Ділова
63000.0,Бориспільська
390000.0,Болсуновська
335000.0,Українки
320000.0,Антонова
118000.0,Науки
159990.0,Метрологічна
85000.0,Дружби Народів
155022.2,*** not found
590000.0,Драгомирова
84000.0,Данченка
35000.0,Кримська
63000.0,Новопольова
40000.0,Туполєва
42654.8,*** not found
60000.0,Дніпровська
130000.0,Перемоги
346500.0,Івана Федорова
46998.0,Братиславська
10092.1,*** not found
29256.6,Червоноткацька
166000.0,Златоустівська
115000.0,Бойченка
298000.0,Трускавецька
43100.0,Каховська
179900.0,Лобановського
96255.3,*** not found
56500.0,Курчатова
110000.0,Голосіївська
47000.0,Тираспольська
90000.0,Лаврська
44980.0,Правди
58000.0,Миколайчука
63000.0,Порика
29256.6,Червоноткацька
136000.0,Маккейна
73860.0,Йорданська
160000.0,Тютюнника
135000.0,Регенераторна
120000.0,Зарічна
58990.0,Заболотного
90000.0,Курнатовського
187000.0,Інститутська
88000.0,Маланюка
102000.0,Гречка
110000.0,Липківського
160000.0,Маккейна
225000.0,Григоренка
75000.0,Коновальця
59860.0,Закревського
43161.0,*** not found
140000.0,Старонаводницька
78000.0,Маланюка
230000.0,Заньковецької
178000.0,Кудрявська
63000.0,
495000.0,Українки
45900.0,
33000.0,Милославська
66500.0,Донця
119900.0,Верховинця
145000.0,Героїв Дніпра
118000.0,Каховська
41000.0,Каховська
59899.0,Вишняківська
177000.0,Липська
63000.0,Сверстюка
499000.0,Драгомирова
49500.0,Причальна
275000.0,Болсуновська
93000.0,Повітрофлотський
87500.0,Драгоманова
110000.0,Григоренка
900000.0,Дніпровська
86000.0,Жабаєва
335000.0,Філатова
67000.0,Правди
90000.0,Малопідвальна
101500.0,Бойчука
104000.0,Зарічна
190000.0,Предславинська
3600000.0,Івана Мазепи
63000.0,Радченка
680000.0,Лабораторний
139000.0,Конєва
347700.0,Шаповала
85000.0,Дніпровська
35600.0,Клеманська
85000.0,Григоренка
46000.0,Туполєва
125000.0,Хмельницького
530000.0,Саперне Поле
229000.0,Героїв Сталінграда
117000.0,Дніпровська
110000.0,Тарасівська
92900.0,Краківська
77500.0,Юнацька
40500.0,Клеманська
136000.0,Героїв Сталінграда
499000.0,Драгомирова
220000.0,*** not found
125000.0,Драгоманова
100000.0,Українки
80000.0,Тимошенка
57000.0,Маяковського
170000.0,Дмитрівська
59750.0,Курбаса
42678.6,Комарова
92000.0,Драгоманова
115000.0,Драгомирова
54000.0,Моторний
45500.0,Милославська
91500.0,Бойчука
60500.0,Закревського
250000.0,Івана Федорова
78000.0,Філатова
130000.0,Перемоги
84999.0,Миропільська
83000.0,Григоренка
129999.0,Юнацька
70000.0,Вишгородська
36000.0,Жолудєва
210000.0,Павлівська
85900.0,Голосіївський
108000.0,Осокорська
120000.0,Вишгородська
221000.0,Драгомирова
60000.0,Тютюнника
165000.0,Маккейна
200000.0,Івана Мазепи
145000.0,Героїв Сталінграда
199000.0,Липківського
186117.4,*** not found
199000.0,Коновальця
50700.0,Максимовича
185000.0,Зарічна
152000.0,Голосіївська
92000.0,Ясинуватський
49387.4,*** not found
56500.0,Колоса
80000.0,Правди
480000.0,Велика Васильківська
59000.0,Голосіївський
149632.1,*** not found
147075.0,Бойчука
86860.0,Центральна
97000.0,Ясинуватський
55000.0,Райдужна
138000.0,Ломоносова
105000.0,
66016.1,*** not found
284000.0,Гусовського
155000.0,Окіпної
49899.0,Багговутівська
95000.0,Дружби Народів
380000.0,Маккейна
46000.0,Маланюка
60150.0,Михайла Котельникова
185000.0,Героїв Севастополя
81000.0,Маланюка
620000.0,Саперне Поле
48700.0,Балтійський
234000.0,Кудрявська
135000.0,Перемоги
130000.0,Німанська
54100.0,Каховська
239000.0,Малопідвальна
140000.0,Невська
128000.0,Златоустівська
31000.0,
41187.0,Берковецька
120000.0,Бажана
740000.0,Антоновича
180000.0,*** not found
63000.0,Гречка
126000.0,Микільсько-Слобідська
80000.0,Правди
98000.0,Тимошенка
150000.0,Павла Тичини
100000.0,Олевська
120000.0,Освіти
41000.0,Іллєнка
135000.0,Дніпровська
155000.0,Івана Мазепи
90000.0,Українки
132000.0,Данченка
230000.0,Драгомирова
185000.0,Тбіліський
70500.0,Каховська
87000.0,Ушинського
185000.0,Урлівська
49860.0,Світлицького
100000.0,Дніпровська
90000.0,Липківського
152000.0,Микільсько-Слобідська
159900.0,Лобановського
280000.0,Героїв Сталінграда
85000.0,Дніпровська
67000.0,Драгоманова
59000.0,Ахматової
420000.0,Саперне Поле
65000.0,Данченка
63000.0,Голосіївський
95000.0,*** not found
100000.0,Глибочицька
165000.0,Багговутівська
150000.0,Саксаганського
64000.0,Моторний
73860.0,Йорданська
295000.0,Саперне Поле
55000.0,Вернадського
79900.0,Курбаса
100000.0,Багговутівська
122000.0,Набережно-Рибальська
145000.0,Саксаганського
133000.0,Малиновського
143000.0,Протасів Яр
62000.0,Німанська
95000.0,Підвисоцького
38000.0,Зодчих
52500.0,Рокосовського
229000.0,Шовковична
62000.0,Крушельницької
70000.0,Новопольова
45000.0,Визволителів
70000.0,Сонячна
158000.0,Сікорського
58900.0,Радченка
104700.0,Бульварно-Кудрявська
37000.0,Кайсарова
85000.0,Дніпровська
46000.0,Перова
150000.0,Глушкова
52500.0,Рокосовського
120000.0,Саперно-Слобідська
38000.0,Миколи Кибальчича
45000.0,Миколи Ушакова
250000.0,Антоновича
185000.0,Богданівська
68000.0,
57000.0,Сверстюка
52500.0,Ревуцького
250000.0,Ованеса Туманяна
540000.0,Саперне Поле
